date,e5,e10,disel
30-05-16 8:00:00,1319,0,1099
30-05-16 8:04:00,1319,0,1099
30-05-16 8:08:00,1319,0,1099
30-05-16 8:12:00,1319,0,1099
30-05-16 8:16:00,1319,0,1099
30-05-16 8:20:00,1319,0,1099
30-05-16 8:24:00,1319,0,1099
30-05-16 8:28:00,1319,0,1099
30-05-16 8:32:00,1319,0,1099
30-05-16 8:36:00,1319,0,1099
30-05-16 8:40:00,1319,0,1099
30-05-16 8:44:00,1319,0,1099
30-05-16 8:48:00,1319,0,1099
30-05-16 8:52:00,1319,0,1099
30-05-16 8:56:00,1319,0,1099
30-05-16 9:00:00,1319,0,1099
30-05-16 9:04:00,1319,0,1099
30-05-16 9:08:00,1319,0,1099
30-05-16 9:12:00,1319,0,1099
30-05-16 9:16:00,1319,0,1099
30-05-16 9:20:00,1319,0,1099
30-05-16 9:24:00,1319,0,1099
30-05-16 9:28:00,1319,0,1099
30-05-16 9:32:00,1319,0,1099
30-05-16 9:36:00,1319,0,1099
30-05-16 9:40:00,1319,0,1099
30-05-16 9:44:00,1319,0,1099
30-05-16 9:48:00,1319,0,1099
30-05-16 9:52:00,1319,0,1099
30-05-16 9:56:00,1319,0,1099
30-05-16 10:00:00,1319,0,1099
30-05-16 10:04:00,1319,0,1099
30-05-16 10:08:00,1319,0,1099
30-05-16 10:12:00,1319,0,1099
30-05-16 10:16:00,1319,0,1099
30-05-16 10:20:00,1319,0,1099
30-05-16 10:24:00,1319,0,1099
30-05-16 10:28:00,1319,0,1099
30-05-16 10:32:00,1319,0,1099
30-05-16 10:36:00,1319,0,1099
30-05-16 10:40:00,1319,0,1099
30-05-16 10:44:00,1319,0,1099
30-05-16 10:48:00,1319,0,1099
30-05-16 10:52:00,1319,0,1099
30-05-16 10:56:00,1319,0,1099
30-05-16 11:00:00,1319,0,1099
30-05-16 11:04:00,1319,0,1099
30-05-16 11:08:00,1319,0,1099
30-05-16 11:12:00,1319,0,1099
30-05-16 11:16:00,1319,0,1099
30-05-16 11:20:00,1319,0,1099
30-05-16 11:24:00,1319,0,1099
30-05-16 11:28:00,1319,0,1099
30-05-16 11:32:00,1319,0,1099
30-05-16 11:36:00,1319,0,1099
30-05-16 11:40:00,1319,0,1099
30-05-16 11:44:00,1319,0,1099
30-05-16 11:48:00,1319,0,1099
30-05-16 11:52:00,1319,0,1099
30-05-16 11:56:00,1319,0,1099
30-05-16 12:00:00,1319,0,1099
30-05-16 12:04:00,1319,0,1099
30-05-16 12:08:00,1319,0,1099
30-05-16 12:12:00,1319,0,1099
30-05-16 12:16:00,1319,0,1099
30-05-16 12:20:00,1319,0,1099
30-05-16 12:24:00,1319,0,1099
30-05-16 12:28:00,1319,0,1099
30-05-16 12:32:00,1319,0,1099
30-05-16 12:36:00,1319,0,1099
30-05-16 12:40:00,1319,0,1099
30-05-16 12:44:00,1319,0,1099
30-05-16 12:48:00,1319,0,1099
30-05-16 12:52:00,1319,0,1099
30-05-16 12:56:00,1319,0,1099
30-05-16 13:00:00,1319,0,1099
30-05-16 13:04:00,1319,0,1099
30-05-16 13:08:00,1319,0,1099
30-05-16 13:12:00,1319,0,1099
30-05-16 13:16:00,1319,0,1099
30-05-16 13:20:00,1319,0,1099
30-05-16 13:24:00,1319,0,1099
30-05-16 13:28:00,1319,0,1099
30-05-16 13:32:00,1319,0,1099
30-05-16 13:36:00,1319,0,1099
30-05-16 13:40:00,1319,0,1099
30-05-16 13:44:00,1319,0,1099
30-05-16 13:48:00,1319,0,1099
30-05-16 13:52:00,1319,0,1099
30-05-16 13:56:00,1319,0,1099
30-05-16 14:00:00,1319,0,1099
30-05-16 14:04:00,1319,0,1099
30-05-16 14:08:00,1319,0,1099
30-05-16 14:12:00,1319,0,1099
30-05-16 14:16:00,1319,0,1099
30-05-16 14:20:00,1319,0,1099
30-05-16 14:24:00,1319,0,1099
30-05-16 14:28:00,1319,0,1099
30-05-16 14:32:00,1319,0,1099
30-05-16 14:36:00,1319,0,1099
30-05-16 14:40:00,1319,0,1099
30-05-16 14:44:00,1319,0,1099
30-05-16 14:48:00,1319,0,1099
30-05-16 14:52:00,1319,0,1099
30-05-16 14:56:00,1319,0,1099
30-05-16 15:00:00,1319,0,1099
30-05-16 15:04:00,1319,0,1099
30-05-16 15:08:00,1319,0,1099
30-05-16 15:12:00,1319,0,1099
30-05-16 15:16:00,1319,0,1099
30-05-16 15:20:00,1319,0,1099
30-05-16 15:24:00,1319,0,1099
30-05-16 15:28:00,1319,0,1099
30-05-16 15:32:00,1319,0,1099
30-05-16 15:36:00,1319,0,1099
30-05-16 15:40:00,1319,0,1099
30-05-16 15:44:00,1319,0,1099
30-05-16 15:48:00,1319,0,1099
30-05-16 15:52:00,1319,0,1099
30-05-16 15:56:00,1319,0,1099
30-05-16 16:00:00,1319,0,1099
30-05-16 16:04:00,1319,0,1099
30-05-16 16:08:00,1319,0,1099
30-05-16 16:12:00,1319,0,1099
30-05-16 16:16:00,1319,0,1099
30-05-16 16:20:00,1319,0,1099
30-05-16 16:24:00,1319,0,1099
30-05-16 16:28:00,1319,0,1099
30-05-16 16:32:00,1319,0,1099
30-05-16 16:36:00,1319,0,1099
30-05-16 16:40:00,1319,0,1099
30-05-16 16:44:00,1319,0,1099
30-05-16 16:48:00,1319,0,1099
30-05-16 16:52:00,1319,0,1099
30-05-16 16:56:00,1319,0,1099
30-05-16 17:00:00,1319,0,1099
30-05-16 17:04:00,1319,0,1099
30-05-16 17:08:00,1319,0,1099
30-05-16 17:12:00,1319,0,1099
30-05-16 17:16:00,1319,0,1099
30-05-16 17:20:00,1319,0,1099
30-05-16 17:24:00,1319,0,1099
30-05-16 17:28:00,1319,0,1099
30-05-16 17:32:00,1319,0,1099
30-05-16 17:36:00,1319,0,1099
30-05-16 17:40:00,1319,0,1099
30-05-16 17:44:00,1319,0,1099
30-05-16 17:48:00,1319,0,1099
30-05-16 17:52:00,1319,0,1099
30-05-16 17:56:00,1319,0,1099
30-05-16 18:00:00,1319,0,1099
30-05-16 18:04:00,1319,0,1099
30-05-16 18:08:00,1319,0,1099
30-05-16 18:12:00,1319,0,1099
30-05-16 18:16:00,1319,0,1099
30-05-16 18:20:00,1319,0,1099
30-05-16 18:24:00,1319,0,1099
30-05-16 18:28:00,1319,0,1099
30-05-16 18:32:00,1319,0,1099
30-05-16 18:36:00,1319,0,1099
30-05-16 18:40:00,1319,0,1099
30-05-16 18:44:00,1319,0,1099
30-05-16 18:48:00,1319,0,1099
30-05-16 18:52:00,1319,0,1099
30-05-16 18:56:00,1319,0,1099
30-05-16 19:00:00,1319,0,1099
30-05-16 19:04:00,1319,0,1099
30-05-16 19:08:00,1319,0,1099
30-05-16 19:12:00,1319,0,1099
30-05-16 19:16:00,1319,0,1099
30-05-16 19:20:00,1319,0,1099
30-05-16 19:24:00,1319,0,1099
30-05-16 19:28:00,1319,0,1099
30-05-16 19:32:00,1319,0,1099
30-05-16 19:36:00,1319,0,1099
30-05-16 19:40:00,1319,0,1099
30-05-16 19:44:00,1319,0,1099
30-05-16 19:48:00,1319,0,1099
30-05-16 19:52:00,1319,0,1099
30-05-16 19:56:00,1319,0,1099
30-05-16 20:00:00,1319,0,1099
30-05-16 20:04:00,1319,0,1099
30-05-16 20:08:00,1319,0,1099
30-05-16 20:12:00,1319,0,1099
30-05-16 20:16:00,1319,0,1099
30-05-16 20:20:00,1319,0,1099
30-05-16 20:24:00,1319,0,1099
30-05-16 20:28:00,1319,0,1099
30-05-16 20:32:00,1319,0,1099
30-05-16 20:36:00,1319,0,1099
30-05-16 20:40:00,1319,0,1099
30-05-16 20:44:00,1319,0,1099
30-05-16 20:48:00,1319,0,1099
30-05-16 20:52:00,1319,0,1099
30-05-16 20:56:00,1319,0,1099
30-05-16 21:00:00,1319,0,1099
30-05-16 21:04:00,1319,0,1099
30-05-16 21:08:00,1319,0,1099
30-05-16 21:12:00,1319,0,1099
30-05-16 21:16:00,1319,0,1099
30-05-16 21:20:00,1319,0,1099
30-05-16 21:24:00,1319,0,1099
30-05-16 21:28:00,1319,0,1099
30-05-16 21:32:00,1319,0,1099
30-05-16 21:36:00,1319,0,1099
30-05-16 21:40:00,1319,0,1099
30-05-16 21:44:00,1319,0,1099
30-05-16 21:48:00,1319,0,1099
30-05-16 21:52:00,1319,0,1099
30-05-16 21:56:00,1319,0,1099
30-05-16 22:00:00,1319,0,1099
30-05-16 22:04:00,1319,0,1099
30-05-16 22:08:00,1319,0,1099
30-05-16 22:12:00,1319,0,1099
30-05-16 22:16:00,1319,0,1099
30-05-16 22:20:00,1319,0,1099
30-05-16 22:24:00,1319,0,1099
30-05-16 22:28:00,1319,0,1099
30-05-16 22:32:00,1319,0,1099
30-05-16 22:36:00,1319,0,1099
30-05-16 22:40:00,1319,0,1099
30-05-16 22:44:00,1319,0,1099
30-05-16 22:48:00,1319,0,1099
30-05-16 22:52:00,1319,0,1099
30-05-16 22:56:00,1319,0,1099
30-05-16 23:00:00,1319,0,1099
